843's, x : 68.8907394
844's, x : 69.0785675
845's, x : 69.1544647
846's, x : 69.2316589
847's, x : 69.1144867
848's, x : 69.1980820
849's, x : 68.9601288
850's, x : 68.9183960
851's, x : 69.0727921
852's, x : 68.9601288
853's, x : 68.6877823
854's, x : 68.7067184
855's, x : 68.9183960
856's, x : 68.5489960
857's, x : 68.5860214
858's, x : 68.6194153
859's, x : 68.5958862
860's, x : 68.6912384
861's, x : 68.7442169
862's, x : 68.6194153
863's, x : 68.5860214
864's, x : 68.6912384
865's, x : 68.9019623
866's, x : 68.8907394
867's, x : 68.7442169
868's, x : 68.6877823
869's, x : 68.5147858
870's, x : 68.5650330
871's, x : 68.7067184
872's, x : 68.5147858
873's, x : 68.5019226
874's, x : 68.5620880
875's, x : 68.5650330
876's, x : 68.7877121
877's, x : 69.2479095
878's, x : 69.1993790
879's, x : 68.8706818
880's, x : 69.1993790
881's, x : 69.2479095
882's, x : 69.4697647
883's, x : 69.3451614
884's, x : 69.3237457
885's, x : 69.3451614
886's, x : 69.4697647
887's, x : 69.4624023
888's, x : 69.3859024
889's, x : 69.1013489
890's, x : 69.0263519
891's, x : 69.2920227
892's, x : 68.6653595
893's, x : 69.0263519
894's, x : 69.1013489
895's, x : 68.6480331
896's, x : 67.9615402
897's, x : 68.3537903
898's, x : 68.6653595
899's, x : 68.6480331
900's, x : 68.4436188
901's, x : 68.3537903
902's, x : 67.9615402
903's, x : 68.0685577
904's, x : 68.5262756
905's, x : 68.4900513
906's, x : 68.0360260
907's, x : 68.1823578
908's, x : 68.2111130
909's, x : 68.5897217
910's, x : 68.5262756
911's, x : 68.1823578
912's, x : 68.8706818
913's, x : 68.5897217
914's, x : 68.2111130
915's, x : 68.7877121
916's, x : 68.0792389
917's, x : 68.6605988
918's, x : 68.7200241
919's, x : 68.1987610
920's, x : 68.6605988
921's, x : 69.2171936
922's, x : 69.2691879
923's, x : 68.7200241
924's, x : 69.4624023
925's, x : 69.2691879
926's, x : 69.2171936
927's, x : 69.3859024
928's, x : 69.2920227
929's, x : 69.3237457
930's, x : 69.4624023
931's, x : 69.3859024
932's, x : 69.1980820
933's, x : 69.2199936
934's, x : 69.3237457
935's, x : 69.2920227
936's, x : 69.0930328
937's, x : 69.2199936
938's, x : 69.1980820
939's, x : 69.0727921
940's, x : 68.8091125
941's, x : 69.0930328
942's, x : 69.0727921
943's, x : 68.7533188
944's, x : 68.5958862
945's, x : 68.8091125
946's, x : 68.7533188
947's, x : 68.5620880
948's, x : 68.5019226
949's, x : 68.5489960
950's, x : 68.5958862
951's, x : 68.5620880
952's, x : 68.4900513
953's, x : 68.5489960
954's, x : 68.5019226
955's, x : 68.4436188
956's, x : 68.0360260
957's, x : 68.4900513
958's, x : 68.4436188
959's, x : 68.0685577
960's, x : 66.9970322
961's, x : 67.0001755
962's, x : 66.4681091
963's, x : 66.4446030
964's, x : 66.9488220
965's, x : 66.9970322
966's, x : 66.4446030
967's, x : 66.4217148
968's, x : 66.8448105
969's, x : 66.9488220
970's, x : 66.4217148
971's, x : 66.3102417
972's, x : 66.7727127
973's, x : 66.8448105
974's, x : 66.3102417
975's, x : 66.2261963
976's, x : 66.7663574
977's, x : 66.7727127
978's, x : 66.2261963
979's, x : 66.2178574
980's, x : 66.7776718
981's, x : 66.7663574
982's, x : 66.2178574
983's, x : 66.2529449
984's, x : 66.8166428
985's, x : 66.7776718
986's, x : 66.2529449
987's, x : 66.3220367
988's, x : 66.4018173
989's, x : 66.8836975
990's, x : 66.8166428
991's, x : 66.3220367
992's, x : 66.9667206
993's, x : 66.8836975
994's, x : 66.4018173
995's, x : 66.4394302
996's, x : 67.0001755
997's, x : 66.9667206
998's, x : 66.4394302
999's, x : 66.4681091
1000's, x : 63.8542747
1001's, x : 63.4012756
1002's, x : 63.5257034
1003's, x : 63.9433670
1004's, x : 63.2847252
1005's, x : 63.4012756
1006's, x : 63.8542747
1007's, x : 63.7438545
1008's, x : 63.7438545
1009's, x : 63.6813698
1010's, x : 63.3145180
1011's, x : 63.2847252
1012's, x : 63.4049072
1013's, x : 63.3145180
1014's, x : 63.6813698
1015's, x : 63.6393127
1016's, x : 63.6393127
1017's, x : 63.6843796
1018's, x : 63.4748306
1019's, x : 63.4049072
1020's, x : 63.6843796
1021's, x : 63.7015572
1022's, x : 63.5546188
1023's, x : 63.4748306
1024's, x : 63.7015572
1025's, x : 63.9264412
1026's, x : 63.7139778
1027's, x : 63.5546188
1028's, x : 64.0120621
1029's, x : 63.8166771
1030's, x : 63.7139778
1031's, x : 63.9264412
1032's, x : 63.9278183
1033's, x : 63.7233047
1034's, x : 63.8166771
1035's, x : 64.0120621
1036's, x : 63.9433670
1037's, x : 63.5257034
1038's, x : 63.7233047
1039's, x : 63.9278183
1040's, x : 64.0682144
1041's, x : 64.1838531
1042's, x : 64.0150604
1043's, x : 63.8520088
1044's, x : 64.0815506
1045's, x : 63.4963036
1046's, x : 63.5862808
1047's, x : 64.1505814
1048's, x : 65.0955276
1049's, x : 65.1588440
1050's, x : 64.3640518
1051's, x : 64.2739029
1052's, x : 65.1572495
1053's, x : 65.1398697
